storm_id,domain_mean_mm,footprint_mean_mm,domain_max_mm,n_bands,file
sample_0112,214.6,19.04,924.21,72,sample_0112__scenario_Morales_Guatemala_WRF_Box_rlz1year9679storm5.tif
sample_0113,215.37,30.57,924.21,72,sample_0113__scenario_Morales_Guatemala_WRF_Box_rlz1year9691storm5.tif
sample_0114,215.43,26.72,642.24,72,sample_0114__scenario_Morales_Guatemala_WRF_Box_rlz1year9692storm5.tif
sample_0115,216.73,306.96,1053.32,72,sample_0115__scenario_Morales_Guatemala_WRF_Box_rlz1year9694storm5.tif
sample_0116,192.29,57.56,642.24,72,sample_0116__scenario_Morales_Guatemala_WRF_Box_rlz1year9699storm4.tif
sample_0117,216.56,46.07,924.21,72,sample_0117__scenario_Morales_Guatemala_WRF_Box_rlz1year9699storm5.tif
sample_0118,67.19,22.44,336.8,72,sample_0118__scenario_Morales_Guatemala_WRF_Box_rlz1year9714storm4.tif
sample_0119,219.45,32.46,924.21,72,sample_0119__scenario_Morales_Guatemala_WRF_Box_rlz1year9721storm5.tif
sample_0120,221.5,173.4,924.21,72,sample_0120__scenario_Morales_Guatemala_WRF_Box_rlz1year9742storm5.tif
sample_0121,222.2,135.98,924.21,72,sample_0121__scenario_Morales_Guatemala_WRF_Box_rlz1year9744storm5.tif
sample_0122,222.99,98.91,924.21,72,sample_0122__scenario_Morales_Guatemala_WRF_Box_rlz1year9754storm5.tif
sample_0123,223.24,57.02,924.21,72,sample_0123__scenario_Morales_Guatemala_WRF_Box_rlz1year9757storm5.tif
sample_0124,224.07,9.02,1209.26,72,sample_0124__scenario_Morales_Guatemala_WRF_Box_rlz1year9758storm5.tif
sample_0125,224.72,67.54,1324.55,72,sample_0125__scenario_Morales_Guatemala_WRF_Box_rlz1year9769storm5.tif
sample_0126,212.51,132.47,799.92,72,sample_0126__scenario_Morales_Guatemala_WRF_Box_rlz1year9783storm4.tif
sample_0127,227.4,286.25,1053.32,72,sample_0127__scenario_Morales_Guatemala_WRF_Box_rlz1year9787storm5.tif
sample_0128,88.93,167.33,423.27,72,sample_0128__scenario_Morales_Guatemala_WRF_Box_rlz1year9789storm3.tif
sample_0129,227.86,67.76,924.21,72,sample_0129__scenario_Morales_Guatemala_WRF_Box_rlz1year9792storm5.tif
sample_0130,229.09,73.04,1324.55,72,sample_0130__scenario_Morales_Guatemala_WRF_Box_rlz1year9804storm5.tif
sample_0131,233.25,133.63,1053.32,72,sample_0131__scenario_Morales_Guatemala_WRF_Box_rlz1year9822storm5.tif
sample_0132,234.52,45.51,811.22,72,sample_0132__scenario_Morales_Guatemala_WRF_Box_rlz1year9825storm5.tif
sample_0133,233.63,54.55,1324.55,72,sample_0133__scenario_Morales_Guatemala_WRF_Box_rlz1year9826storm5.tif
sample_0134,235.15,78.87,1324.55,72,sample_0134__scenario_Morales_Guatemala_WRF_Box_rlz1year9837storm5.tif
sample_0135,236.38,250.09,1053.32,72,sample_0135__scenario_Morales_Guatemala_WRF_Box_rlz1year9843storm5.tif
sample_0136,236.59,37.0,924.21,72,sample_0136__scenario_Morales_Guatemala_WRF_Box_rlz1year9845storm5.tif
sample_0137,237.61,34.56,1324.55,72,sample_0137__scenario_Morales_Guatemala_WRF_Box_rlz1year9848storm5.tif
sample_0138,240.48,344.47,1282.72,72,sample_0138__scenario_Morales_Guatemala_WRF_Box_rlz1year9849storm5.tif
sample_0139,240.02,235.14,811.22,72,sample_0139__scenario_Morales_Guatemala_WRF_Box_rlz1year9860storm5.tif
sample_0140,239.85,35.52,1324.55,72,sample_0140__scenario_Morales_Guatemala_WRF_Box_rlz1year9864storm5.tif
sample_0141,240.99,240.47,1053.32,72,sample_0141__scenario_Morales_Guatemala_WRF_Box_rlz1year9870storm5.tif
sample_0142,241.18,274.13,811.22,72,sample_0142__scenario_Morales_Guatemala_WRF_Box_rlz1year9872storm5.tif
sample_0143,244.09,85.3,929.53,72,sample_0143__scenario_Morales_Guatemala_WRF_Box_rlz1year9876storm5.tif
sample_0144,148.09,148.05,741.01,72,sample_0144__scenario_Morales_Guatemala_WRF_Box_rlz1year9880storm3.tif
sample_0145,245.14,35.18,924.21,72,sample_0145__scenario_Morales_Guatemala_WRF_Box_rlz1year9886storm5.tif
sample_0146,248.27,36.28,1324.55,72,sample_0146__scenario_Morales_Guatemala_WRF_Box_rlz1year9893storm5.tif
sample_0147,253.17,140.78,986.44,72,sample_0147__scenario_Morales_Guatemala_WRF_Box_rlz1year9906storm5.tif
sample_0148,251.91,30.36,1324.55,72,sample_0148__scenario_Morales_Guatemala_WRF_Box_rlz1year9907storm5.tif
sample_0149,251.96,35.52,1324.55,72,sample_0149__scenario_Morales_Guatemala_WRF_Box_rlz1year9908storm5.tif
sample_0150,253.71,36.8,986.44,72,sample_0150__scenario_Morales_Guatemala_WRF_Box_rlz1year9910storm5.tif
sample_0151,254.69,35.42,1324.55,72,sample_0151__scenario_Morales_Guatemala_WRF_Box_rlz1year9912storm5.tif
sample_0152,255.2,60.77,1324.55,72,sample_0152__scenario_Morales_Guatemala_WRF_Box_rlz1year9913storm5.tif
sample_0153,256.98,9.75,1324.55,72,sample_0153__scenario_Morales_Guatemala_WRF_Box_rlz1year9914storm5.tif
sample_0154,260.18,224.24,811.22,72,sample_0154__scenario_Morales_Guatemala_WRF_Box_rlz1year9921storm5.tif
sample_0155,262.43,86.74,986.44,72,sample_0155__scenario_Morales_Guatemala_WRF_Box_rlz1year9923storm5.tif
sample_0156,262.67,65.17,811.22,72,sample_0156__scenario_Morales_Guatemala_WRF_Box_rlz1year9925storm5.tif
sample_0157,263.57,37.77,1324.55,72,sample_0157__scenario_Morales_Guatemala_WRF_Box_rlz1year9928storm5.tif
sample_0158,264.22,45.49,1324.55,72,sample_0158__scenario_Morales_Guatemala_WRF_Box_rlz1year9929storm5.tif
sample_0159,266.3,250.07,811.22,72,sample_0159__scenario_Morales_Guatemala_WRF_Box_rlz1year9932storm5.tif
sample_0160,266.47,40.2,1324.55,72,sample_0160__scenario_Morales_Guatemala_WRF_Box_rlz1year9934storm5.tif
sample_0161,267.93,102.02,811.22,72,sample_0161__scenario_Morales_Guatemala_WRF_Box_rlz1year9936storm5.tif
sample_0162,268.81,64.74,811.22,72,sample_0162__scenario_Morales_Guatemala_WRF_Box_rlz1year9940storm5.tif
sample_0163,268.58,37.91,1324.55,72,sample_0163__scenario_Morales_Guatemala_WRF_Box_rlz1year9942storm5.tif
sample_0164,268.31,31.29,1324.55,72,sample_0164__scenario_Morales_Guatemala_WRF_Box_rlz1year9943storm5.tif
sample_0165,270.36,92.25,1282.72,72,sample_0165__scenario_Morales_Guatemala_WRF_Box_rlz1year9944storm5.tif
sample_0166,269.72,25.5,1324.55,72,sample_0166__scenario_Morales_Guatemala_WRF_Box_rlz1year9945storm5.tif
sample_0167,270.91,117.29,811.22,72,sample_0167__scenario_Morales_Guatemala_WRF_Box_rlz1year9948storm5.tif
sample_0168,271.45,97.57,1282.72,72,sample_0168__scenario_Morales_Guatemala_WRF_Box_rlz1year9949storm5.tif
sample_0169,271.67,109.46,811.22,72,sample_0169__scenario_Morales_Guatemala_WRF_Box_rlz1year9950storm5.tif
sample_0170,94.29,72.14,431.71,72,sample_0170__scenario_Morales_Guatemala_WRF_Box_rlz1year9952storm4.tif
sample_0171,272.05,112.19,811.22,72,sample_0171__scenario_Morales_Guatemala_WRF_Box_rlz1year9953storm5.tif
sample_0172,272.43,110.08,811.22,72,sample_0172__scenario_Morales_Guatemala_WRF_Box_rlz1year9956storm5.tif
sample_0173,272.71,79.05,811.22,72,sample_0173__scenario_Morales_Guatemala_WRF_Box_rlz1year9957storm5.tif
sample_0174,272.94,175.61,811.22,72,sample_0174__scenario_Morales_Guatemala_WRF_Box_rlz1year9958storm5.tif
sample_0175,273.11,119.67,811.22,72,sample_0175__scenario_Morales_Guatemala_WRF_Box_rlz1year9959storm5.tif
sample_0176,272.67,25.08,1324.55,72,sample_0176__scenario_Morales_Guatemala_WRF_Box_rlz1year9960storm5.tif
sample_0177,274.8,110.62,811.22,72,sample_0177__scenario_Morales_Guatemala_WRF_Box_rlz1year9964storm5.tif
sample_0178,276.28,147.06,811.22,72,sample_0178__scenario_Morales_Guatemala_WRF_Box_rlz1year9967storm5.tif
sample_0179,278.45,17.12,1324.55,72,sample_0179__scenario_Morales_Guatemala_WRF_Box_rlz1year9970storm5.tif
sample_0180,278.79,28.27,1324.55,72,sample_0180__scenario_Morales_Guatemala_WRF_Box_rlz1year9971storm5.tif
sample_0181,279.18,30.57,1324.55,72,sample_0181__scenario_Morales_Guatemala_WRF_Box_rlz1year9972storm5.tif
