pcode,name,island_model,store,magnitude_min_mm,magnitude_max_mm
AG01,Barbuda,barbuda,fim_store_AG01_Barbuda_v1.zarr,0.0,987.5
AG02,Redonda,NOT COVERED,,,
AG03,Saint George,antigua,fim_store_AG03_SaintGeorge_v1.zarr,0.0,1117.9
AG04,Saint John's,antigua,fim_store_AG04_SaintJohnS_v1.zarr,0.0,1120.5
AG05,Saint Mary,antigua,fim_store_AG05_SaintMary_v1.zarr,0.0,1111.3
AG06,Saint Paul,antigua,fim_store_AG06_SaintPaul_v1.zarr,0.0,1104.6
AG07,Saint Peter,antigua,fim_store_AG07_SaintPeter_v1.zarr,0.0,1081.3
AG08,Saint Philip,antigua,fim_store_AG08_SaintPhilip_v1.zarr,0.0,1024.2
