pcode,name,storm_id,pcpout_mm,rain_geotiff_mm,diff_mm,diff_pct
BB11,Saint Thomas,sample_0174,469.41,476.84,7.43,1.58
BB11,Saint Thomas,sample_0175,412.17,413.11,0.94,0.23
BB11,Saint Thomas,sample_0176,570.27,575.89,5.62,0.99
BB11,Saint Thomas,sample_0177,515.84,519.4,3.56,0.69
BB11,Saint Thomas,sample_0178,732.12,735.29,3.17,0.43
BB11,Saint Thomas,sample_0179,449.3,453.19,3.89,0.86
BB11,Saint Thomas,sample_0180,391.45,387.93,-3.53,-0.9
BB11,Saint Thomas,sample_0181,623.0,625.61,2.61,0.42
BB11,Saint Thomas,sample_0182,552.08,553.8,1.71,0.31
BB11,Saint Thomas,sample_0183,618.98,621.86,2.88,0.47
BB11,Saint Thomas,sample_0184,472.74,475.87,3.13,0.66
BB11,Saint Thomas,sample_0185,472.74,475.87,3.13,0.66
BB11,Saint Thomas,sample_0186,468.72,468.94,0.22,0.05
BB11,Saint Thomas,sample_0187,663.7,663.79,0.1,0.01
BB11,Saint Thomas,sample_0188,746.84,748.05,1.21,0.16
BB11,Saint Thomas,sample_0189,538.71,543.06,4.35,0.81
BB11,Saint Thomas,sample_0190,628.98,629.06,0.08,0.01
BB11,Saint Thomas,sample_0191,610.5,614.93,4.43,0.73
BB11,Saint Thomas,sample_0192,616.24,618.38,2.13,0.35
BB11,Saint Thomas,sample_0193,632.41,638.17,5.76,0.91
BB11,Saint Thomas,sample_0194,656.71,655.75,-0.96,-0.15
BB11,Saint Thomas,sample_0195,619.76,622.21,2.45,0.39
BB11,Saint Thomas,sample_0196,903.32,904.02,0.7,0.08
BB11,Saint Thomas,sample_0197,815.57,815.73,0.15,0.02
BB11,Saint Thomas,sample_0198,820.23,820.27,0.04,0.0
BB11,Saint Thomas,sample_0199,848.75,845.85,-2.9,-0.34
BB11,Saint Thomas,sample_0200,920.16,919.71,-0.45,-0.05
